date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,breakeven_hit,trailing_active,contracts
2025-03-05 04:45:00-05:00,PMH,SHORT,5844.25,5819.25,5869.25,134778,London,Wednesday,4,5844.25,2025,3,WIN,5824.0,2025-03-05 06:00:00-05:00,20.25,405.0,5,25.25,0.0,False,True,4
2025-03-05 09:45:00-05:00,PML,LONG,5779.0,5804.0,5754.0,134798,NY,Wednesday,9,5779.0,2025,3,WIN,5811.5,2025-03-05 10:00:00-05:00,32.5,650.0,1,37.5,0.0,False,True,4
2025-03-06 04:45:00-05:00,PML,LONG,5786.25,5811.25,5761.25,134870,London,Thursday,4,5786.25,2025,3,LOSS,5761.25,2025-03-06 09:30:00-05:00,-25.0,-500.0,19,11.5,33.25,False,False,4
2025-03-06 05:15:00-05:00,PMH,SHORT,5802.25,5777.25,5827.25,134872,London,Thursday,5,5802.25,2025,3,WIN,5780.5,2025-03-06 06:00:00-05:00,21.75,435.0,3,26.75,0.0,False,True,4
2025-03-06 09:30:00-05:00,PDL,LONG,5750.75,5775.75,5725.75,134889,NY,Thursday,9,5750.75,2025,3,WIN,5774.0,2025-03-06 09:45:00-05:00,23.25,465.0,1,28.25,0.0,False,True,4
2025-03-07 03:15:00-05:00,LPH,SHORT,5764.75,5739.75,5789.75,134956,London,Friday,3,5764.75,2025,3,WIN,5735.5,2025-03-07 08:15:00-05:00,29.25,585.0,20,34.25,8.25,False,True,4
2025-03-07 03:30:00-05:00,LPL,LONG,5750.0,5775.0,5725.0,134957,London,Friday,3,5750.0,2025,3,WIN,5781.75,2025-03-07 08:30:00-05:00,31.75,635.0,20,36.75,19.5,False,True,4
2025-03-07 05:00:00-05:00,PMH,SHORT,5772.75,5747.75,5797.75,134963,London,Friday,5,5772.75,2025,3,WIN,5750.75,2025-03-07 07:30:00-05:00,22.0,440.0,10,27.0,0.0,False,True,4
2025-03-07 10:30:00-05:00,PML,LONG,5721.0,5746.0,5696.0,134985,NY,Friday,10,5721.0,2025,3,WIN,5743.75,2025-03-07 10:45:00-05:00,22.75,455.0,1,27.75,11.0,False,True,4
2025-03-10 03:15:00-04:00,LPL,LONG,5741.25,5766.25,5716.25,135048,London,Monday,3,5741.25,2025,3,LOSS,5716.25,2025-03-10 04:30:00-04:00,-25.0,-500.0,5,10.0,27.25,False,False,4
2025-03-10 04:45:00-04:00,PML,LONG,5702.25,5727.25,5677.25,135054,London,Monday,4,5702.25,2025,3,WIN,5725.75,2025-03-10 05:30:00-04:00,23.5,470.0,3,28.5,0.0,False,True,4
2025-03-11 03:30:00-04:00,LPL,LONG,5619.5,5644.5,5594.5,135141,London,Tuesday,3,5619.5,2025,3,WIN,5642.0,2025-03-11 05:00:00-04:00,22.5,450.0,6,27.5,0.25,False,True,4
2025-03-11 03:45:00-04:00,LPH,SHORT,5639.0,5614.0,5664.0,135142,London,Tuesday,3,5639.0,2025,3,WIN,5612.0,2025-03-11 09:15:00-04:00,27.0,540.0,22,32.0,12.5,False,True,4
2025-03-11 05:15:00-04:00,PML,LONG,5636.75,5661.75,5611.75,135148,London,Tuesday,5,5636.75,2025,3,LOSS,5611.75,2025-03-11 09:15:00-04:00,-25.0,-500.0,16,14.75,29.75,False,False,4
2025-03-11 10:30:00-04:00,PDL,LONG,5557.75,5582.75,5532.75,135169,NY,Tuesday,10,5557.75,2025,3,WIN,5580.0,2025-03-11 10:45:00-04:00,22.25,445.0,1,27.25,0.0,False,True,4
