date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,breakeven_hit,trailing_active,contracts
2023-05-04 03:15:00-04:00,LPL,LONG,2045.0,2065.0,2020.0,43957,London,Thursday,3,2045.0,2023,5,WIN,2063.2,2023-05-04 10:30:00-04:00,18.199999999999818,363.99999999999636,29,23.199999999999818,6.5,False,True,2
2023-05-04 05:15:00-04:00,PML,LONG,2039.9,2059.9,2014.9,43965,London,Thursday,5,2039.9,2023,5,WIN,2059.5,2023-05-04 10:15:00-04:00,19.59999999999991,391.9999999999982,20,24.59999999999991,0.0,False,True,2
2023-05-04 09:45:00-04:00,PMH,SHORT,2053.1,2033.1,2078.1,43983,NY,Thursday,9,2053.1,2023,5,WIN,2020.4,2023-05-05 08:30:00-04:00,32.69999999999982,653.9999999999964,87,37.69999999999982,15.099999999999909,False,True,2
2023-05-05 03:15:00-04:00,LPL,LONG,2052.6,2072.6,2027.6,44049,London,Friday,3,2052.6,2023,5,LOSS,2027.6,2023-05-05 08:30:00-04:00,-25.0,-500.0,21,0.0,37.19999999999982,False,False,2
2023-05-05 04:45:00-04:00,PML,LONG,2047.5,2067.5,2022.5,44055,London,Friday,4,2047.5,2023,5,LOSS,2022.5,2023-05-05 08:30:00-04:00,-25.0,-500.0,15,0.8000000000001819,32.09999999999991,False,False,2
2023-05-08 04:45:00-04:00,PMH,SHORT,2030.3,2010.3,2055.3,44147,London,Monday,4,2030.3,2023,5,LOSS,2055.3,2023-05-10 08:30:00-04:00,-25.000000000000227,-500.00000000000455,199,5.0,25.399999999999864,False,False,2
2023-05-08 09:45:00-04:00,PML,LONG,2028.4,2048.4,2003.4,44167,NY,Monday,9,2028.4,2023,5,WIN,2050.7,2023-05-10 08:30:00-04:00,22.299999999999727,445.99999999999454,179,27.299999999999727,2.0,False,True,2
2023-05-09 11:15:00-04:00,PML,LONG,2029.0,2049.0,2004.0,44265,NY,Tuesday,11,2029.0,2023,5,WIN,2050.7,2023-05-10 08:30:00-04:00,21.699999999999818,433.99999999999636,81,26.699999999999818,0.0,False,True,2
2023-05-10 03:15:00-04:00,LPL,LONG,2034.4,2054.4,2009.4,44325,London,Wednesday,3,2034.4,2023,5,WIN,2050.7,2023-05-10 08:30:00-04:00,16.299999999999727,325.99999999999454,21,21.299999999999727,2.400000000000091,False,True,2
2023-05-10 03:30:00-04:00,LPH,SHORT,2040.0,2020.0,2065.0,44326,London,Wednesday,3,2040.0,2023,5,WIN,2021.7,2023-05-11 09:45:00-04:00,18.299999999999955,365.9999999999991,117,23.299999999999955,15.699999999999818,False,True,2
2023-05-10 04:45:00-04:00,PML,LONG,2033.2,2053.2,2008.2,44331,London,Wednesday,4,2033.2,2023,5,WIN,2050.7,2023-05-10 08:30:00-04:00,17.499999999999773,349.99999999999545,15,22.499999999999773,1.2000000000000455,False,True,2
2023-05-11 05:00:00-04:00,PMH,SHORT,2031.7,2011.7,2056.7,44424,London,Thursday,5,2031.7,2023,5,WIN,2015.6,2023-05-12 02:45:00-04:00,16.100000000000136,322.00000000000273,83,21.100000000000136,15.799999999999955,False,True,2
2023-05-15 03:15:00-04:00,LPH,SHORT,2023.7,2003.7,2048.7,44601,London,Monday,3,2023.7,2023,5,WIN,2006.7,2023-05-16 11:00:00-04:00,17.0,340.0,123,22.0,3.5,False,True,2
2023-05-15 04:45:00-04:00,PMH,SHORT,2025.6,2005.6,2050.6,44607,London,Monday,4,2025.6,2023,5,WIN,2010.2,2023-05-16 08:30:00-04:00,15.399999999999864,307.99999999999727,107,20.399999999999864,1.6000000000001364,False,True,2
2023-05-15 10:45:00-04:00,PML,LONG,2016.1,2036.1,1991.1,44631,NY,Monday,10,2016.1,2023,5,LOSS,1991.1,2023-05-16 13:00:00-04:00,-25.0,-500.0,101,10.400000000000091,27.0,False,False,2
2023-05-16 05:15:00-04:00,PMH,SHORT,2014.6,1994.6,2039.6,44701,London,Tuesday,5,2014.6,2023,5,WIN,1994.1,2023-05-16 14:15:00-04:00,20.5,410.0,36,25.5,4.7000000000000455,False,True,2
2023-05-16 05:15:00-04:00,PML,LONG,2013.1,2033.1,1988.1,44701,London,Tuesday,5,2013.1,2023,5,LOSS,1988.1,2023-05-17 05:00:00-04:00,-25.0,-500.0,91,6.2000000000000455,25.59999999999991,False,False,2
2023-05-17 03:15:00-04:00,LPH,SHORT,1995.7,1975.7,2020.7,44785,London,Wednesday,3,1995.7,2023,5,WIN,1979.7,2023-05-18 05:30:00-04:00,16.0,320.0,101,21.0,0.0,False,True,2
2023-05-17 03:15:00-04:00,LPL,LONG,1990.3,2010.3,1965.3,44785,London,Wednesday,3,1990.3,2023,5,LOSS,1965.3,2023-05-18 09:15:00-04:00,-25.0,-500.0,116,3.6000000000001364,28.09999999999991,False,False,2
