date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2022-07-20 06:30:00-04:00,PML,LONG,12252.25,12302.25,12202.25,73108,London,Wednesday,6,12252.25,2022,7,WIN,12327.75,2022-07-20 09:30:00-04:00,75.5,604.0,6.0,598.0,12,80.5,16.25,True,4
2022-07-20 10:15:00-04:00,LPH,SHORT,12356.25,12306.25,12406.25,73123,NY,Wednesday,10,12356.25,2022,7,LOSS,12406.25,2022-07-20 10:30:00-04:00,-50.0,-400.0,6.0,-406.0,1,0.0,78.5,False,4
2022-07-20 10:30:00-04:00,PDH,SHORT,12405.0,12355.0,12455.0,73124,NY,Wednesday,10,12405.0,2022,7,LOSS,12455.0,2022-07-20 10:45:00-04:00,-50.0,-400.0,6.0,-406.0,1,0.0,82.0,False,4
2022-07-21 03:30:00-04:00,LPL,LONG,12423.0,12473.0,12373.0,73188,London,Thursday,3,12423.0,2022,7,WIN,12483.5,2022-07-21 06:00:00-04:00,60.5,484.0,6.0,478.0,10,65.5,17.75,True,4
2022-07-21 05:00:00-04:00,PMH,SHORT,12447.0,12397.0,12497.0,73194,London,Thursday,5,12447.0,2022,7,LOSS,12497.0,2022-07-21 06:15:00-04:00,-50.0,-400.0,6.0,-406.0,5,9.25,51.75,False,4
2022-07-21 10:00:00-04:00,PML,LONG,12405.25,12455.25,12355.25,73214,NY,Thursday,10,12405.25,2022,7,WIN,12470.0,2022-07-21 10:15:00-04:00,64.75,518.0,6.0,512.0,1,69.75,31.75,True,4
2022-07-21 10:00:00-04:00,PDH,SHORT,12517.5,12467.5,12567.5,73214,NY,Thursday,10,12517.5,2022,7,WIN,12378.5,2022-07-21 10:15:00-04:00,139.0,1112.0,6.0,1106.0,1,144.0,0.0,True,4
2022-07-21 11:00:00-04:00,LPH,SHORT,12490.75,12440.75,12540.75,73218,NY,Thursday,11,12490.75,2022,7,LOSS,12540.75,2022-07-21 11:30:00-04:00,-50.0,-400.0,6.0,-406.0,2,25.75,54.0,False,4
2022-07-22 04:45:00-04:00,PMH,SHORT,12577.75,12527.75,12627.75,73285,London,Friday,4,12577.75,2022,7,LOSS,12627.75,2022-07-22 09:30:00-04:00,-50.0,-400.0,6.0,-406.0,19,15.25,71.25,False,4
2022-07-22 09:45:00-04:00,PDH,SHORT,12655.5,12605.5,12705.5,73305,NY,Friday,9,12655.5,2022,7,WIN,12547.75,2022-07-22 10:00:00-04:00,107.75,862.0,6.0,856.0,1,112.75,0.0,True,4
2022-07-22 10:00:00-04:00,PML,LONG,12555.25,12605.25,12505.25,73306,NY,Friday,10,12555.25,2022,7,WIN,12604.75,2022-07-22 10:15:00-04:00,49.5,396.0,6.0,390.0,1,54.5,3.75,True,4
2022-07-22 11:00:00-04:00,LPL,LONG,12523.0,12573.0,12473.0,73310,NY,Friday,11,12523.0,2022,7,LOSS,12473.0,2022-07-22 11:30:00-04:00,-50.0,-400.0,6.0,-406.0,2,36.5,101.5,False,4
